name,required_age,is_free,short_description,supported_languages,header_image,website,ratings,categories,genre1,genre2,genre3,genre4,genre5,genres6,genres7
7 days to die,18,False,"7 Days to Die is an open-world game that is a unique combination of first-person shooter, survival horror, tower defense, and role-playing games. Play the definitive zombie survival sandbox RPG that came first. Navezgane awaits!","English, French, German, Spanish - Spain, Italian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Turkish",https://cdn.akamai.steamstatic.com/steam/apps/251570/header.jpg?t=1689258861,http://www.7daystodie.com,7,Multiplayer,Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access
a dance of fire and ice,15,False,A Dance of Fire and Ice is a strict rhythm game. Keep your focus as you guide two orbiting planets along a winding path without breaking their perfect equilibrium.,"English, Spanish - Spain, Korean, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Japanese, Spanish - Latin America, Polish, Romanian, Russian, Vietnamese, Czech, French, German",https://cdn.akamai.steamstatic.com/steam/apps/977950/header.jpg?t=1680659451,https://7thbe.at,6,Singleplayer,Indie,,,,,,
a plague tale innocence,15,False,"Follow the grim tale of young Amicia and her little brother Hugo, in a heartrending journey through the darkest hours of history.","English, French, German, Italian, Spanish - Spain, Czech, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Korean, Japanese, Traditional Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/752590/header.jpg?t=1674035726,https://www.focus-home.com/games/a-plague-tale-innocence,7,Singleplayer,Action,Adventure,,,,,
a story about my uncle,10,False,"A Story About My Uncle is a first person platforming adventure game about a boy who searches for his lost uncle, and ends up in a world he couldn’t imagine existed. The movement is a crucial part of the games core gameplay – focusing on swinging through the world with a grappling hook that gives the player a wonderful sense of speed and...","English, French, Italian, German, Polishs ",https://cdn.akamai.steamstatic.com/steam/apps/278360/header.jpg?t=1589403981,http://gonenorthgames.com/games/a-story-about-my-uncle/,6,Singleplayer,Adventure,Casual,Indie,,,,
a way out,18,False,A Way Out is an exclusively co-op adventure where you play the role of one of two prisoners making their daring escape from prison.,"English, French, German, Italian, Spanish - Spain, Polish, Portuguese - Brazil, Russians ",https://cdn.akamai.steamstatic.com/steam/apps/1222700/header.jpg?t=1626878628,https://www.ea.com/games/a-way-out,7,Multiplayer,Action,Adventure,Indie,,,,
ace combat  7 skies unknown,15,False,Become an ace pilot and soar through photorealistic skies with full 360 degree movement; down enemy aircraft and experience the thrill of engaging in realistic sorties! Aerial combat has never looked or felt better!,"English, French, German, Italian, Spanish - Spain, Japanese, Polish, Portuguese - Brazil, Russian, Korean, Traditional Chinese, Spanish - Latin America, Simplified Chineses ",https://cdn.akamai.steamstatic.com/steam/apps/502500/header.jpg?t=1676861110,http://ace-7.bn-ent.net/,7,Multiplayer,Action,Simulation,,,,,
ace of spades battle builder,15,False,"Say hello to the creative shooter. Ace of Spades: Battle Builder is the first-person shooter that lets you create your battleground, destroy it, then create it again. Up to 32 players choose from seven unique classes and jump into team-based, multiplayer mayhem across an endlessly evolving battlefield, to construct, destruct and take out...","English, German, French, Italian, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Turkishs ",https://cdn.akamai.steamstatic.com/steam/apps/224540/header.jpg?t=1636677126,http://aceofspades.com/,2,Multiplayer,Action,Indie,,,,,
action taimanin,15,True,"An intense, gorgeous hack-and-slash action RPG from the Taimanin fame!","English, Japanese, Simplified Chinese, Traditional Chinese, Korean, Spanish - Spain, Spanish - Latin Americas ",https://cdn.akamai.steamstatic.com/steam/apps/1335200/header.jpg?t=1671699192,http://www.actiontaimanin.net,7,Multiplayer,Action,Adventure,Free to Play,RPG,,,
adventure capitalist,10,True,"Welcome, eager young investor, to AdVenture Capitalist! Arguably the world's greatest Capitalism simulator!",English,https://cdn.akamai.steamstatic.com/steam/apps/346900/header.jpg?t=1606160039,http://www.kongregate.com/pages/adventure-capitalist,5,Singleplayer,Casual,Free to Play,Indie,,,,
age of empires  iii 2007,10,False,Microsoft Studios brings you three epic Age of Empires III games in one monumental collection for the first time.,"English, French, German, Italian, Spanish - Spain",https://cdn.akamai.steamstatic.com/steam/apps/105450/header.jpg?t=1667261661,https://www.ageofempires.com/games/aoeiii/,7,Multiplayer,Simulation,Strategy,,,,,
